Date,Close/Last,Volume,Open,High,Low,Pct_Change
2018-05-14,272.98,54702570,273.34,274.08,272.36,0.05
2018-05-15,271.1,86876380,271.59,271.61,270.03,-0.69
2018-05-16,272.24,53759700,271.14,272.76,271.11,0.42
2018-05-17,272.01,56371150,271.94,273.23,271.13,-0.08
2018-05-18,271.33,64174990,271.62,272.03,270.93,-0.25
2018-05-21,273.37,57738110,273.01,273.98,271.3512,0.75
2018-05-22,272.61,52880880,273.96,274.25,272.24,-0.28
2018-05-23,273.36,64605540,271.17,273.39,270.99,0.28
2018-05-24,272.8,75966080,272.91,273.22,270.78,-0.2
2018-05-25,272.15,56329040,272.15,272.86,271.58,-0.24
2018-05-29,269.02,115692100,270.31,271.17,267.76,-1.15
2018-05-30,272.61,69396900,270.5,273.11,270.42,1.33
2018-05-31,270.94,93426970,272.15,272.49,270.255,-0.61
2018-06-01,273.6,71088010,272.41,273.94,272.33,0.98
2018-06-04,274.9,45188240,274.53,275.185,274.26,0.48
2018-06-05,275.1,50988090,275.05,275.53,274.18,0.07
2018-06-06,277.4,62498610,275.79,277.52,275.09,0.84
2018-06-07,277.37,72882070,277.95,278.28,276.34,-0.01
2018-06-08,278.19,71981550,276.85,278.25,276.66,0.3
2018-06-11,278.56,58757260,278.44,279.37,278.31,0.13
2018-06-12,278.92,72240090,279.03,279.33,278.19,0.13
2018-06-13,278.03,78889800,279.19,279.48,277.8,-0.32
2018-06-14,278.73,76394330,279.01,279.33,278.0599,0.25
2018-06-15,277.13,119448800,276.6,277.51,275.35,-0.57
2018-06-18,276.56,52549580,275.49,276.7,274.95,-0.21
2018-06-19,275.5,97395160,274.0,275.75,273.53,-0.38
2018-06-20,275.97,53652060,276.27,276.72,275.59,0.17
2018-06-21,274.24,70864990,275.96,275.98,273.68,-0.63
2018-06-22,274.74,56516380,275.66,275.785,274.49,0.18
2018-06-25,271.0,137668700,273.44,273.6162,269.1,-1.36
2018-06-26,271.6,68525150,271.64,272.56,270.79,0.22
2018-06-27,269.35,104838900,272.26,273.865,269.18,-0.83
2018-06-28,270.89,76511740,269.29,271.75,268.49,0.57
2018-06-29,271.28,97444490,272.12,273.66,271.1495,0.14
2018-07-02,271.86,63370550,269.51,272.04,269.24,0.21
2018-07-03,270.9,42187070,272.87,272.98,270.42,-0.35
2018-07-05,273.11,56621680,272.17,273.18,270.96,0.82
2018-07-06,275.42,66414600,273.14,275.84,272.715,0.85
2018-07-09,277.9,49652160,276.55,277.96,276.5,0.9
2018-07-10,278.9,51162450,278.41,279.01,278.08,0.36
2018-07-11,276.86,76905490,277.15,278.04,276.52,-0.73
2018-07-12,279.37,59986150,278.28,279.43,277.6,0.91
2018-07-13,279.59,48211510,279.17,279.93,278.66,0.08
2018-07-16,279.34,48070320,279.64,279.803,278.84,-0.09
2018-07-17,280.47,52171530,278.47,280.91,278.41,0.4
2018-07-18,281.06,44475860,280.56,281.18,280.06,0.21
2018-07-19,280.0,61337540,280.31,280.74,279.46,-0.38
2018-07-20,279.68,83120620,279.77,280.48,279.5,-0.11
2018-07-23,280.2,46971110,279.45,280.43,279.06,0.19
2018-07-24,281.61,67830670,281.79,282.56,280.63,0.5
2018-07-25,284.01,78136310,281.33,284.37,281.28,0.85
2018-07-26,283.34,57764990,283.2,284.11,283.09,-0.24
2018-07-27,281.42,76745550,283.71,283.82,280.38,-0.68
2018-07-30,279.95,63129490,281.51,281.69,279.36,-0.52
2018-07-31,281.33,68048690,280.81,282.02,280.38,0.49
2018-08-01,280.86,53750270,281.56,282.13,280.1315,-0.17
2018-08-02,282.39,63362570,279.39,282.58,279.16,0.54
2018-08-03,283.6,53903840,282.53,283.6577,282.33,0.43
2018-08-06,284.64,39089820,283.64,284.99,283.2015,0.37
2018-08-07,285.58,43055550,285.39,286.01,285.24,0.33
2018-08-08,285.46,41980470,285.39,285.91,284.94,-0.04
2018-08-09,285.07,35577000,285.53,285.97,284.915,-0.14
2018-08-10,283.16,76861430,283.45,284.055,282.36,-0.67
2018-08-13,282.1,65603520,283.47,284.16,281.77,-0.37
2018-08-14,283.9,43699800,282.92,284.17,282.4833,0.64
2018-08-15,281.78,102770900,282.38,282.54,280.16,-0.75
2018-08-16,284.06,69735140,283.4,285.04,283.36,0.81
2018-08-17,285.06,65486180,283.83,285.5601,283.37,0.35
